"","nodesize","train","test"
"1",1,0.168183596716302,0.572909908050979
"2",2,0.191752017257692,0.571809521236852
"3",3,0.210219156898028,0.571892938516711
"4",4,0.226332640107764,0.572050836532895
"5",5,0.240601372324788,0.571708134397359
"6",6,0.253078838507652,0.570509156543855
"7",7,0.264177092596405,0.57077502552341
"8",8,0.274057992807145,0.57110767395482
"9",9,0.283008140622088,0.570404082613711
"10",10,0.291204253802854,0.571213389481291
