"","mtry","train_tree100","test_tree100","train_tree200","test_tree200","train_tree300","test_tree300"
"1",2,0.168778378447808,0.578115704676777,0.168349757556433,0.575159807345682,0.16827069865959,0.573568957538954
"2",4,0.160792364404218,0.579563936905433,0.160356388956187,0.575524054547172,0.160226394771766,0.574165260175746
"3",6,0.160542358456038,0.579278624820796,0.160068572586169,0.578480859696192,0.15998053752589,0.57792033274405
"4",8,0.160558719758768,0.584136023185892,0.159969372581099,0.579093208853292,0.159849233913101,0.579045779696956
"5",10,0.160470921012628,0.586163511202394,0.160098639621822,0.581703801821176,0.159812816875418,0.579945680060869
"6",12,0.160363239077466,0.587833670522226,0.160066086799667,0.582835125246688,0.159894263011731,0.582464012766265
"7",14,0.160648567858637,0.589583604198631,0.160199183574083,0.584248282506131,0.159972380208621,0.582156221885916
"8",16,0.16074939300188,0.586603173565454,0.160223822492796,0.585951187981325,0.160209984470448,0.584588406958049
