"","mtry","train_tree400","test_tree400","train_tree500","test_tree500","train_tree600","test_tree600"
"1",2,0.168277646001434,0.574260298363004,0.168127359557741,0.572708295764026,0.168183596716302,0.572909908050979
"2",3,0.161059020578205,0.57376703197943,0.161041632973489,0.573092920849017,0.161027241696176,0.573535735246041
"3",4,0.160100321256805,0.57461839401554,0.160164991415106,0.574244207411058,0.160021766498633,0.574299773535083
"4",5,0.15988462636056,0.575323570875238,0.159868477882779,0.574682494803453,0.159702465416567,0.575429240943387
"5",6,0.159851109862646,0.576270166194873,0.159816916268619,0.575808558708332,0.159720299529405,0.576114751771201
"6",7,0.159745207515971,0.577868606307196,0.159791640064564,0.57707976267362,0.159693531495476,0.57670009873238
